uid,type,I see myself as someone who...   - 1. Is talkative,I see myself as someone who...   - 2. Tends to find fault with others,I see myself as someone who...   - 3. Does a thorough job,"I see myself as someone who...   - 4. Is depressed, blue","I see myself as someone who...   - 5. Is original, comes up with new ideas",I see myself as someone who...   - 6. Is reserved,I see myself as someone who...   - 7. Is helpful and unselfish with others,I see myself as someone who...   - 8. Can be somewhat careless,"I see myself as someone who...   - 9. Is relaxed, handles stress well.",I see myself as someone who...   - 10. Is curious about many different things,I see myself as someone who...   - 11.Is full of energy,I see myself as someone who...   - 12. Starts quarrels with others,I see myself as someone who...   - 13. Is a reliable worker,I see myself as someone who...   - 14. Can be tense,"I see myself as someone who...   - 15. Is ingenious, a deep thinker",I see myself as someone who...   - 16. Generates a lot of enthusiasm,I see myself as someone who...   - 17. Has a forgiving nature,I see myself as someone who...   - 18. Tends to be disorganized,I see myself as someone who...   - 19. Worries a lot,I see myself as someone who...   - 20. Has an active imagination,I see myself as someone who...   - 21. Tends to be quiet,I see myself as someone who...   - 22. Is generally trusting,I see myself as someone who...   - 23. Tends to be lazy,"I see myself as someone who...   - 24. Is emotionally stable, not easily upset",I see myself as someone who...   - 25. Is inventive,I see myself as someone who...   - 26. Has an assertive personality,I see myself as someone who...   - 27. Can be cold and aloof,I see myself as someone who...   - 28. Perseveres until the task is finished,I see myself as someone who...   - 29. Can be moody,"I see myself as someone who...   - 30. Values artistic, aesthetic experiences","I see myself as someone who...   - 31. Is sometimes shy, inhibited",I see myself as someone who...   - 32. Is considerate and kind to almost everyone,I see myself as someone who...   - 33. Does things efficiently,I see myself as someone who...   - 34. Remains calm in tense situations,I see myself as someone who...   - 35. Prefers work that is routine,"I see myself as someone who...   - 36. Is outgoing, sociable",I see myself as someone who...   - 37. Is sometimes rude to others,I see myself as someone who...   - 38. Makes plans and follows through with them,I see myself as someone who...   - 39. Gets nervous easily,"I see myself as someone who...   - 40. Likes to reflect, play with ideas",I see myself as someone who...   - 41. Has few artistic interests,I see myself as someone who...   - 42. Likes to cooperate with others,I see myself as someone who...   - 43. Is easily distracted,"I see myself as someone who...   - 44. Is sophisticated in art, music, or literature"
u15,Pre,4,2,4,1,4,3,4,4.0,3,4,3,1,4,4,3,3,4,4,3.0,3.0,3,3,4.0,4,3,3,2,4,4.0,3,3.0,3,4,4,4,4,4,3.0,3.0,3.0,3,3,3,2
u16,Pre,1,4,5,4,4,5,3,3.0,2,5,3,1,5,5,3,3,4,3,5.0,5.0,5,3,3.0,2,3,1,4,5,4.0,4,5.0,3,3,3,4,3,2,3.0,5.0,5.0,1,4,4,2
u17,Pre,5,5,5,4,5,5,5,5.0,2,5,3,4,5,4,4,3,5,4,5.0,5.0,5,5,3.0,4,5,4,3,5,4.0,5,5.0,5,3,5,5,3,2,3.0,1.0,5.0,1,5,3,5
u18,Pre,2,4,3,5,3,4,3,4.0,2,3,3,4,4,4,3,2,2,2,3.0,3.0,3,1,2.0,2,2,3,4,3,4.0,2,3.0,2,3,3,4,3,3,4.0,3.0,4.0,4,3,4,1
u19,Pre,1,3,4,3,4,5,3,4.0,3,3,3,2,4,4,4,3,3,3,5.0,3.0,5,2,3.0,3,3,2,4,4,4.0,3,5.0,4,4,3,4,2,3,4.0,4.0,4.0,3,4,3,3
u20,Pre,5,2,4,2,5,2,5,2.0,3,3,3,2,4,3,4,4,5,3,2.0,5.0,3,5,3.0,4,4,4,2,3,2.0,5,3.0,4,3,4,5,5,2,3.0,3.0,4.0,5,4,3,4
u23,Pre,3,4,4,4,4,4,4,4.0,3,3,3,2,3,4,4,4,3,3,3.0,4.0,4,5,2.0,2,3,4,2,3,4.0,3,3.0,4,4,3,3,3,2,3.0,5.0,4.0,3,3,5,5
u24,Pre,3,4,2,3,4,3,4,4.0,3,4,4,4,2,2,4,3,3,4,4.0,4.0,2,2,4.0,2,4,5,3,2,2.0,4,4.0,2,5,3,2,4,4,2.0,4.0,3.0,4,4,4,2
u27,Pre,3,2,3,3,3,4,4,4.0,3,4,3,1,4,3,3,3,4,4,3.0,3.0,4,4,3.0,3,3,2,4,3,3.0,5,4.0,4,2,3,4,3,2,3.0,4.0,4.0,4,4,4,4
u30,Pre,5,2,5,1,4,2,4,2.0,2,4,4,1,5,2,4,5,4,2,3.0,3.0,2,4,1.0,4,4,5,2,5,2.0,3,2.0,4,4,5,3,5,2,4.0,1.0,4.0,3,4,2,4
u31,Pre,5,4,4,3,3,1,4,4.0,3,5,4,4,4,3,1,2,5,4,4.0,4.0,1,5,4.0,4,4,3,2,3,4.0,5,1.0,5,3,2,1,5,2,3.0,2.0,4.0,5,4,3,5
u32,Pre,5,4,5,1,4,3,4,1.0,5,5,5,1,4,2,4,5,5,2,3.0,4.0,2,4,3.0,5,4,4,1,5,2.0,4,3.0,4,5,4,2,5,2,5.0,2.0,4.0,4,5,3,2
u33,Pre,4,3,3,4,5,3,4,4.0,1,4,3,2,2,4,4,3,3,5,4.0,5.0,3,4,5.0,3,5,1,4,3,4.0,4,4.0,4,3,4,2,4,2,1.0,3.0,5.0,1,2,5,5
u34,Pre,4,3,3,1,3,2,5,4.0,4,4,4,2,4,4,3,3,5,3,3.0,4.0,4,4,4.0,5,3,3,2,4,4.0,3,4.0,5,3,2,3,4,1,3.0,4.0,3.0,2,4,2,3
u35,Pre,3,2,4,2,4,3,4,2.0,4,4,4,2,4,3,3,3,4,2,2.0,4.0,4,4,3.0,2,3,2,3,3,2.0,2,4.0,4,3,3,2,2,2,4.0,3.0,4.0,2,4,3,2
u36,Pre,4,2,4,1,4,3,4,3.0,4,4,4,1,4,3,4,4,4,2,1.0,4.0,3,4,2.0,5,4,3,1,4,2.0,3,3.0,4,3,3,4,4,3,4.0,1.0,4.0,3,4,2,3
u42,Pre,4,1,3,3,4,4,4,4.0,4,5,4,1,3,2,4,4,5,4,3.0,4.0,3,4,4.0,3,4,2,3,2,3.0,4,3.0,4,4,4,3,3,2,2.0,2.0,4.0,2,4,4,3
u43,Pre,2,2,5,2,4,5,4,4.0,4,4,4,1,5,4,4,4,5,2,2.0,3.0,4,3,1.0,4,4,2,2,5,3.0,3,4.0,4,3,5,3,2,2,5.0,4.0,4.0,4,4,2,2
u44,Pre,3,3,4,1,4,3,4,4.0,4,5,4,2,4,4,4,4,5,1,1.0,4.0,4,4,2.0,4,4,3,3,5,2.0,4,2.0,4,4,3,4,4,4,4.0,3.0,4.0,2,4,4,1
u45,Pre,4,3,3,2,4,2,3,2.0,1,3,3,1,4,3,3,4,3,1,4.0,4.0,3,5,5.0,2,3,3,4,4,3.0,5,1.0,3,3,4,3,4,1,3.0,2.0,3.0,1,4,2,4
u47,Pre,5,3,4,2,5,2,4,4.0,5,5,5,3,4,3,3,5,2,2,2.0,4.0,2,4,3.0,4,5,5,5,4,3.0,4,4.0,4,5,5,3,5,2,2.0,2.0,3.0,3,4,3,3
u49,Pre,4,2,5,1,4,5,4,4.0,5,5,4,1,5,4,5,4,5,4,3.0,5.0,4,5,3.0,4,4,2,3,4,4.0,5,4.0,5,4,4,3,4,3,4.0,3.0,5.0,4,4,2,5
u51,Pre,3,3,4,2,4,2,4,3.0,3,4,4,2,4,3,4,3,3,2,4.0,4.0,4,4,3.0,4,4,4,2,4,3.0,4,3.0,4,4,3,2,4,2,4.0,2.0,4.0,2,4,2,4
u52,Pre,1,4,3,4,4,5,1,3.0,2,5,3,1,2,3,4,4,5,3,4.0,5.0,5,3,5.0,1,3,1,4,3,5.0,2,5.0,4,2,3,2,1,2,2.0,5.0,5.0,4,4,5,1
u53,Pre,4,3,5,3,5,5,4,5.0,2,4,2,1,5,5,3,2,5,5,5.0,4.0,4,4,3.0,2,4,3,4,5,5.0,5,5.0,5,3,1,2,3,2,2.0,5.0,5.0,1,4,5,5
u56,Pre,2,1,4,1,5,5,4,3.0,4,5,2,1,4,3,4,2,4,5,2.0,3.0,5,4,3.0,5,4,2,3,4,3.0,4,5.0,4,4,4,1,2,2,3.0,2.0,4.0,2,4,2,3
u58,Pre,1,3,2,3,4,5,5,3.0,2,4,3,1,5,4,3,4,5,1,4.0,3.0,5,4,5.0,3,2,5,3,4,4.0,5,5.0,5,5,2,5,1,1,5.0,5.0,5.0,2,4,4,5
u59,Pre,5,2,3,3,3,3,4,4.0,4,5,5,1,4,3,3,5,4,4,4.0,3.0,3,5,5.0,5,3,4,2,2,4.0,4,4.0,5,4,5,4,5,2,4.0,5.0,5.0,2,2,5,3
